manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
ME8M4TA/A,0013030534,iPad Pro 13 CL 2TB 黑 ME8M4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 黑,89400
ME8N4TA/A,0013030535,iPad Pro 13 CL 2TB 銀 ME8N4,iPad,iPad Pro 13(M5),Cellular iPad Pro 13 銀,89400
MGYX4TA/A,0013030536,Air 11 M2/3 巧控鍵盤 黑 MGYX4,Accy,*iPad Accy,11 5th Keyboard,9490
MGYY4TA/A,0013030537,Air 13 M2/3 巧控鍵盤 黑 MGYY4,Accy,*iPad Accy,12.9 7th Keyboard,9890
SXKH2TA/A,0013030538,AC+ for M5 MBP 14 SXKH2,Care,ACPP+,14 MacBook Pro ACPP+,8990
SXT02TA/A,0013030539,AC+ for M5 iPad Pro 11 SXT02,Care,ACPP+,iPad Pro 11 5th ACPP+,4890
SXT12TA/A,0013030540,AC+ for M5 iPad Pro 13 SXT02,Care,ACPP+,iPad Pro 13 7th ACPP+,5590
0025188698,0013026777,Marshall Emberton II 喇叭 銅黑,EGP,藍芽裝置&喇叭耳機,Marshall Emberton 二代,6490
0025188702,0013026778,Marshall Emberton II 喇叭 白,EGP,藍芽裝置&喇叭耳機,Marshall Emberton 二代,6490
0025230741,0013026779,Marshall Emberton II 鑄鋼黑,EGP,藍芽裝置&喇叭耳機,Marshall Emberton 二代,6490
0025188703,0013026780,Marshall Willen 藍牙喇叭 銅黑,EGP,藍芽裝置&喇叭耳機,Marshall Willen 藍牙喇叭,3990
0025188704,0013026781,Marshall Willen 藍牙喇叭 白,EGP,藍芽裝置&喇叭耳機,Marshall Willen 藍牙喇叭,3990
0025198921,0013026782,Marshall Acton III 藍牙喇叭 黑,EGP,藍芽裝置&喇叭耳機,Marshall Acton 三代,11900
0025198922,0013026783,Marshall Acton III 藍牙喇叭 白,EGP,藍芽裝置&喇叭耳機,Marshall Acton 三代,11900
0025222546,0013026784,Marshall Acton III 藍牙喇叭 棕,EGP,藍芽裝置&喇叭耳機,Marshall Acton 三代,11900
0025198923,0013026785,Marshall Stanmore III 喇叭 黑,EGP,藍芽裝置&喇叭耳機,Marshall Stanmore 三代,17900
0025198924,0013026786,Marshall Stanmore III 喇叭 白,EGP,藍芽裝置&喇叭耳機,Marshall Stanmore 三代,17900
0025222547,0013026787,Marshall Stanmore III 喇叭 棕,EGP,藍芽裝置&喇叭耳機,Marshall Stanmore 三代,17900
0025198925,0013026788,Marshall Woburn III 喇叭 黑,EGP,藍芽裝置&喇叭耳機,Marshall Woburn 三代,23900
0025198926,0013026789,Marshall Woburn III 喇叭 白,EGP,藍芽裝置&喇叭耳機,Marshall Woburn 三代,23900
0025208453,0013026790,Marshall Middleton 喇叭 古銅,EGP,藍芽裝置&喇叭耳機,Marshall Middleton,9900
0025208454,0013026791,Marshall Middleton 喇叭 白,EGP,藍芽裝置&喇叭耳機,Marshall Middleton,9900
1006712,0013026902,Marshall Emberton III 古銅黑,EGP,藍芽裝置&喇叭耳機,Marshall Emberton 三代,6490
1006714,0013026903,Marshall Emberton III 奶油白,EGP,藍芽裝置&喇叭耳機,Marshall Emberton 三代,6490
1006714,0013026904,Marshall Willen II  古銅黑,EGP,藍芽裝置&喇叭耳機,Marshall Willen 二代,3990
1006717,0013026905,Marshall Willen II 奶油白,EGP,藍芽裝置&喇叭耳機,Marshall Willen 二代,3990
1008130 ,0013029018,Marshall Acton III 夜幕藍,EGP,藍芽裝置&喇叭耳機,Marshall Acton 三代,11900
1008137 ,0013029019,Marshall Emberton III 夜幕藍,EGP,藍芽裝置&喇叭耳機,Marshall Emberton 三代,6490
1007429 ,0013029020,Marshall Middleton II 奶油白,EGP,藍芽裝置&喇叭耳機,Marshall Middleton 二代,11900
1007428 ,0013029021,Marshall Middleton II 古銅黑,EGP,藍芽裝置&喇叭耳機,Marshall Middleton 二代,11900
1009086,0013029182,Marshall Acton III 藍牙喇叭 黑,EGP,藍芽裝置&喇叭耳機,Marshall Acton 三代,11900
1009088,0013029183,Marshall Acton III 藍牙喇叭 棕,EGP,藍芽裝置&喇叭耳機,Marshall Acton 三代,11900
1009090,0013029184,Marshall Acton III 藍牙喇叭 白,EGP,藍芽裝置&喇叭耳機,Marshall Acton 三代,11900
